flame_id,reindexed_id,x,y,credibility
1,1,791.443,665.086,0.67914
2,1,792.168,664.53,0.711474
3,1,794.176,664.107,0.699068
4,1,794.348,664.108,0.688059
5,1,795.31,664.858,0.705793
6,1,797.144,664.87,0.673964
7,1,798.715,665.281,0.689351
8,1,800.506,664.169,0.722332
9,1,801.612,667.167,0.686625
10,1,803.254,665.265,0.674811
11,1,804.126,665.05,0.629978
12,1,794.989,663.455,0.771529
13,1,807.162,664.394,0.681299
14,1,795.936,678.944,0.232883
15,1,809.774,664.996,0.657966
16,1,0,0,0
17,1,813.13,666.429,0.64825
18,1,814.34,666.04,0.680411
19,1,815.198,665.055,0.697862
20,1,806.333,666.372,0.733944
21,1,818.804,666.819,0.659897
22,1,808.26,664.662,0.758028
23,1,822.593,667.104,0.563251
24,1,808.468,663.81,0.482555
25,1,824.522,667.595,0.486113
26,1,825.628,665.905,0.605351
27,1,827.08,666.244,0.59364
28,1,818.85,666.688,0.565994
29,1,830.521,666.636,0.595349
30,1,817.621,673.553,0.522227
31,1,833.813,669.172,0.565235
32,1,835.623,666.392,0.675573
33,1,836.608,667.051,0.566571
34,1,839.351,668.868,0.458361
35,1,840.158,668.487,0.480761
36,1,841.36,667.152,0.507129
37,1,842.848,669.164,0.417744
38,1,844.511,666.606,0.526352
39,1,845.905,666.825,0.621393
40,1,848.458,667.942,0.532435
41,1,849.165,665.638,0.572797
42,1,849.827,665.4,0.667221
43,1,852.558,666.49,0.653212
44,1,853.405,665.8,0.587764
45,1,837.413,671.27,0.406965
46,1,856.976,665.414,0.667549
47,1,837.142,666.784,0.598069
48,1,859.796,667.981,0.58305
49,1,0,0,0
50,1,863.079,666.506,0.640857
51,1,865.073,665.413,0.687982
52,1,866.545,667.011,0.682051
53,1,855.349,666.266,0.646116
54,1,869.249,666.138,0.621811
55,1,858.881,666.725,0.680633
56,1,872.551,666.091,0.611743
57,1,859.986,665.764,0.596312
58,1,874.756,667.138,0.699776
59,1,877.114,666.757,0.667293
60,1,878.761,666.095,0.693328
61,1,880.806,664.955,0.735507
62,1,881.044,665.507,0.764617
63,1,882.98,666.2,0.721249
64,1,884.399,666.531,0.703097
65,1,886.245,664.599,0.644696
66,1,888.12,664.265,0.708325
67,1,890.767,664.93,0.740118
68,1,890.043,665.086,0.757791
69,1,893.153,664.352,0.704107
70,1,895.283,664.507,0.698921
71,1,895.934,664.505,0.698058
72,1,897.42,665.167,0.734803
73,1,899.322,664.808,0.674204
74,1,901.751,664.411,0.77586
75,1,902.077,664.3,0.781817
76,1,881.174,666.601,0.445096
77,1,906.152,662.616,0.75729
78,1,0,0,0
79,1,907.665,663.563,0.741014
80,1,887.308,665.613,0.780101
81,1,910.913,663.703,0.733809
82,1,913.104,663.876,0.7431
83,1,915.248,664.402,0.65328
84,1,903.562,662.756,0.517244
85,1,918.331,664.09,0.712046
86,1,905.049,662.851,0.722765
87,1,920.23,663.605,0.805844
88,1,910.787,665.215,0.74783
89,1,924.477,662.497,0.795055
90,1,924.665,662.232,0.807293
91,1,927.223,661.746,0.704615
92,1,927.122,661.408,0.712887
93,1,929.928,660.856,0.677041
94,1,930.76,660.586,0.747403
95,1,933.469,661.857,0.629379
96,1,934.284,662.351,0.559464
97,1,934.314,660.523,0.720817
98,1,938.005,658.775,0.737454
99,1,939.213,659.971,0.738778
100,1,940.148,660.613,0.732815
101,1,941.177,659.697,0.722938
102,1,943.727,659.967,0.718481
103,1,944.761,660.255,0.687491
104,1,946.496,660.586,0.739141
105,1,948.605,658.762,0.679624
106,1,950.296,661.204,0.636363
107,1,951.251,659.595,0.646438
108,1,952.082,660.611,0.67771
109,1,930.253,668.317,0.390575
110,1,955.411,660.191,0.664445
111,1,932.68,660.172,0.53862
112,1,959.016,659.751,0.70803
113,1,935.917,664.485,0.435844
114,1,962.063,657.679,0.744103
115,1,963.606,658.45,0.798433
116,1,965.245,659.594,0.734177
117,1,955.27,660.498,0.666573
118,1,968.587,659.168,0.726382
119,1,957.248,659.46,0.660767
120,1,971.878,657.397,0.738186
121,1,971.038,656.782,0.753742
122,1,973.678,658.433,0.768386
123,1,973.117,657.486,0.715498
124,1,976.085,656.894,0.763648
125,1,978.495,656.735,0.701793
126,1,979.46,656.554,0.754184
127,1,979.499,654.77,0.755385
128,1,982.39,654.541,0.694485
129,1,982.567,656.676,0.729579
130,1,986.015,655.776,0.687646
131,1,987.194,656.81,0.613607
132,1,973.143,658.637,0.688451
133,1,990.374,655.719,0.725764
134,1,974.826,658.736,0.583462
135,1,993.387,654.247,0.66922
136,1,980.2,668.479,0.252421
137,1,994.491,654.806,0.620566
138,1,996.086,654.347,0.731098
139,1,999.093,654.838,0.638305
140,1,0,0,0
141,1,1000.01,652.8,0.724121
142,1,991.428,655.878,0.576916
143,1,1003.08,651.89,0.765043
144,1,994.011,656.391,0.56618
145,1,1006.12,652.884,0.690958
146,1,1008.63,652.865,0.592633
147,1,1008.79,651.077,0.70722
148,1,998.668,653.372,0.613646
149,1,1012.67,648.675,0.685481
150,1,1001.95,649.279,0.71181
151,1,1015.66,647.589,0.686226
152,1,1016.41,647.096,0.626391
153,1,1017.34,647.28,0.703392
154,1,1018.23,647.793,0.744663
155,1,1020.42,647.04,0.609024
156,1,1021.21,647.182,0.632735
157,1,1021.1,645.663,0.725825
158,1,1022.96,644.859,0.741144
159,1,1022.57,646.066,0.714042
160,1,1026.05,646.338,0.66758
161,1,1026.79,644.605,0.653483
162,1,1028.51,644.856,0.510763
163,1,1026.55,644.385,0.681996
164,1,1029.42,644.247,0.683901
165,1,0,0,0
166,1,1030.54,642.899,0.70434
167,1,1018.71,646.571,0.380549
168,1,1032.38,643.83,0.626829
169,1,1021.03,645.061,0.64315
170,1,1033.42,640.547,0.634152
171,1,1035.61,639.438,0.649249
172,1,1036.49,641.014,0.676541
173,1,1031.24,641.453,0.751572
174,1,1037.52,639.697,0.685912
175,1,1032.15,641.279,0.452806
176,1,1038.23,637.532,0.695271
177,1,1032.23,641.657,0.219963
178,1,1039.27,638.152,0.653569
179,1,1042.09,638.154,0.648497
180,1,1042.52,636.795,0.688514
181,1,1044.33,638.028,0.589063
182,1,1044.01,638.404,0.604814
183,1,1044.68,637.225,0.675581
184,1,1046.23,637.192,0.618915
185,1,1047.33,638.23,0.618572
186,1,1047.47,636.025,0.710947
187,1,1047.59,637.72,0.690842
188,1,1048.74,637.134,0.572424
189,1,1049.77,636.831,0.675187
190,1,1051.41,637.081,0.590502
191,1,1051.3,635.202,0.602209
192,1,1053.61,635.957,0.6617
193,1,0,0,0
194,1,0,0,0
195,1,1055.98,635.484,0.645526
196,1,1055.85,635.196,0.662769
197,1,1055.91,635.53,0.649353
198,1,1045.02,639.772,0.474503
199,1,1057.14,635.728,0.615239
200,1,1049.62,637.94,0.684908
201,1,1060.65,634.656,0.723931
202,1,1046.94,638.267,0.640738
203,1,1062.54,634.25,0.62053
204,1,1063.6,633.167,0.643753
205,1,1064.42,635.197,0.677814
206,1,1057.25,633.111,0.607815
207,1,1064.82,634.625,0.718999
208,1,1045.44,661.555,0.407697
209,1,1067.67,633.691,0.706151
210,1,1050.66,659.347,0.344989
211,1,1069.43,634.663,0.651941
212,1,1068.6,632.928,0.718563
213,1,1069.55,631.162,0.712313
214,1,1070.55,631.186,0.670174
215,1,1071.89,631.49,0.668714
216,1,1073.34,630.654,0.653165
217,1,1074.62,633.194,0.692278
218,1,1075.56,634.428,0.661829
219,1,1075.52,634.175,0.694281
220,1,1076.38,631.63,0.656513
221,1,1069.87,632.318,0.65999
222,1,1078.05,632.114,0.724679
223,1,1070.32,634.779,0.455473
224,1,1079.55,633.47,0.701626
225,1,1077.38,636.109,0.315904
226,1,1080.99,634.527,0.673233
227,1,1081.07,632.452,0.732001
228,1,1083,635.397,0.66504
229,1,1078.3,632.076,0.642861
230,1,1083.84,634.135,0.768094
231,1,1080,631.694,0.515465
232,1,1085.68,634.851,0.682236
233,1,1081.44,632.305,0.708717
234,1,1089.38,634.093,0.676306
235,1,1088.53,634.552,0.773346
236,1,1090.37,634.529,0.767375
237,1,1083.31,632.914,0.652705
238,1,1090.35,635.352,0.754374
239,1,1083.39,642.286,0.606073
240,1,0,0,0
241,1,1093.76,634.872,0.731255
242,1,1094.67,636.492,0.643479
243,1,1094.81,635.911,0.721206
244,1,1095.96,636.178,0.63147
245,1,1096.92,635.045,0.635554
246,1,1097.69,636.431,0.666662
247,1,1098.75,634.937,0.67988
248,1,1099.66,636.621,0.593045
249,1,1099.84,636.055,0.630839
250,1,1099.62,637.367,0.64621
251,1,1100.86,635.022,0.694727
252,1,1102.39,635.951,0.701909
253,1,1102.67,636.192,0.651291
254,1,1095.61,634.71,0.654089
255,1,1103.1,636.909,0.687475
256,1,1095.72,636.135,0.738046
257,1,1103.82,635.89,0.717135
258,1,1106.39,649.603,0.110866
259,1,1104.93,637.823,0.740746
260,1,1104.86,634.967,0.746282
261,1,1106.05,635.899,0.699075
262,1,1100.44,635.894,0.692557
263,1,1107.69,639.08,0.685733
264,1,1107.8,639.411,0.571505
265,1,1108.46,637.479,0.744998
266,1,1105.84,639.24,0.494547
267,1,1110.61,636.811,0.732322
268,1,0,0,0
269,1,1110.45,637.607,0.68837
270,1,1107.02,636.82,0.656388
271,1,1110.66,638.96,0.744709
272,1,1112.48,639.43,0.692231
273,1,1111.32,639.837,0.694776
274,1,1113.4,639.764,0.649968
275,1,1111.65,640.834,0.665331
276,1,1113.48,638.69,0.664659
277,1,1111.67,638.584,0.646683
278,1,1112.77,639.173,0.744663
279,1,1112.72,640.198,0.691414
280,1,1113.64,639.654,0.649456
281,1,1113.54,640.448,0.659287
282,1,1115.58,639.123,0.709103
283,1,1115.62,638.764,0.630535
284,1,1115.42,639.518,0.651225
285,1,1110.84,637.337,0.645191
286,1,1116.5,639.429,0.668499
287,1,1114.72,638.596,0.578699
288,1,1118.33,639.954,0.649794
289,1,1113.64,640.722,0.322176
290,1,1118.32,640.392,0.619962
291,1,1119.21,641.57,0.76057
292,1,1118.34,643.336,0.657894
293,1,1116.42,641.89,0.57072
294,1,1118.43,643.556,0.652063
295,1,1113.5,640.178,0.580358
296,1,1119.3,644.408,0.734016
297,1,1116.55,641.456,0.612387
298,1,1118.43,645.308,0.710017
299,1,1118.29,644.397,0.670254
300,1,1118.34,645.091,0.673522
301,1,1119.42,645.209,0.690525
302,1,1119.49,645.828,0.704362
303,1,1118.97,645.022,0.74509
304,1,1118.06,646.842,0.708518
305,1,1118.51,647.25,0.710985
306,1,1117.54,645.152,0.61352
307,1,1118.19,647.492,0.733086
308,1,1117.34,645.718,0.703394
309,1,1118.34,646.807,0.74093
310,1,1116.23,647.715,0.748794
311,1,1116.33,648.845,0.69512
312,1,1115.44,648.891,0.686581
313,1,1114.47,648.936,0.755958
314,1,1113.41,649.643,0.733812
315,1,1113.22,648.31,0.760055
316,1,1112.34,648.294,0.655934
317,1,1111.46,650.112,0.706604
318,1,1116.73,646.826,0.607758
319,1,1108.59,652.159,0.700412
320,1,1116.2,646.581,0.612666
321,1,1103.42,651.77,0.688624
322,1,0,0,0
323,1,1099.45,651.984,0.767057
324,1,1096.76,654.315,0.731673
325,1,1094.87,653.874,0.683609
326,1,1107.97,651.757,0.719528
327,1,1089.98,654.401,0.680715
328,1,1101.82,652.002,0.52125
329,1,0,0,0
330,1,1066.1,660.304,0.594486
331,1,1074.17,657.321,0.619097
332,1,1067.38,657.853,0.624615
333,1,1062.5,658.836,0.538167
334,1,1058.2,658.856,0.684579
335,1,0,0,0
336,1,1047.12,661.483,0.529936
337,1,1039.42,662.344,0.376426
338,1,1031.94,661.764,0.540851
339,1,1023.99,664.344,0.350592
340,1,1016.25,666.036,0.359554
341,1,1066.58,704.096,0.149707
342,1,1000.6,677.498,0.248573
343,1,0,0,0
344,1,0,0,0
345,1,984.544,808.734,0.00818397
346,1,966.161,694.581,0.414075
347,1,946.614,695.914,0.234266
348,1,943.402,703.274,0.345794
349,1,0,0,0
350,1,918.313,713.281,0.262343
351,1,0,0,0
352,1,892.457,733.637,0.175722
353,1,0,0,0
354,1,855.335,732.867,0.154546
355,1,842.169,717.503,0.252406
356,1,831.562,724.629,0.165602
357,1,901.739,683.315,0.0189491
358,1,797.232,709.197,0.496901
359,1,0,0,0
360,1,813.393,794.417,0.00846362
361,1,0,0,0
362,1,0,0,0
363,1,0,0,0
